"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 01 17:18:52 GMT 2024","Thu Feb 01 17:18:52 GMT 2024","157","Sponsored Product (Staging)","Get All Category Campaigns per Product","","","","Get Loan - All Category Campaigns per Product Copy No LoanProductId",""
"failed","Thu Feb 01 17:18:52 GMT 2024","Thu Feb 01 17:18:52 GMT 2024","157","Sponsored Product (Staging)","Get SavingProductData","","","","Get SavingProductData -No ProductId",""
"failed","Thu Feb 01 17:18:50 GMT 2024","Thu Feb 01 17:18:50 GMT 2024","156","Sponsored Product (Staging)","Set Sponsored Product Campaign Status","","","","Set  Savings Sponsored Product Campaign Empty SponsoredProductEnabled",""
"passed","Thu Feb 01 17:18:44 GMT 2024","Thu Feb 01 17:18:44 GMT 2024","171","AUTH","","","","","Admin console auth non existing email",""
"passed","Thu Feb 01 17:18:54 GMT 2024","Thu Feb 01 17:18:54 GMT 2024","158","Loan Application lists","","","","","Empty Body - Loan Application",""
"failed","Thu Feb 01 17:18:47 GMT 2024","Thu Feb 01 17:18:47 GMT 2024","160","Sponsored Product (Staging)","Create Sponsor Product Campaign","","","","Savings - Create Sponsor Product Campaign Empty Productid",""
"passed","Thu Feb 01 17:19:02 GMT 2024","Thu Feb 01 17:19:02 GMT 2024","200","Account Detail config Page","implement  a Filter - ( search filter by at least 2 fields)","","","","implement  a Filter - ( search filter by at least 2 fields)",""
"passed","Thu Feb 01 17:18:59 GMT 2024","Thu Feb 01 17:19:00 GMT 2024","946","Account Detail config Page","API to validate account number by external API (Paystack)","","","","Invalid Bank Code- API to validate account number by external API (Paystack)",""
"failed","Thu Feb 01 17:18:50 GMT 2024","Thu Feb 01 17:18:50 GMT 2024","156","Sponsored Product (Staging)","Set Sponsored Product Campaign Status","","","","Set  Savings Sponsored Product Campaign Empty SponsoredProductId",""
"failed","Thu Feb 01 17:18:55 GMT 2024","Thu Feb 01 17:18:55 GMT 2024","156","Loan Application lists","","","","","Empty Application Types - Get Loans Application List",""
"failed","Thu Feb 01 17:18:50 GMT 2024","Thu Feb 01 17:18:50 GMT 2024","157","Sponsored Product (Staging)","Set Sponsored Product Campaign Status","","","","Set Loan Sponsored Product Campaign empty SponsoredProductEnabled",""
"failed","Thu Feb 01 17:18:51 GMT 2024","Thu Feb 01 17:18:52 GMT 2024","157","Sponsored Product (Staging)","Get-loan-product","","","","get-loan-product",""
"failed","Thu Feb 01 17:18:48 GMT 2024","Thu Feb 01 17:18:48 GMT 2024","159","Sponsored Product (Staging)","Update Sponsored Product Campaign","","","","Savings-Update Sponsor Product Campaign",""
"passed","Thu Feb 01 17:18:57 GMT 2024","Thu Feb 01 17:18:58 GMT 2024","172","Account Detail config Page","Ability for Finance officer to Edit an already inputted account number","","","","Invalid bankId: Ability for Finance officer to Edit an already inputted account number",""
"failed","Thu Feb 01 17:18:46 GMT 2024","Thu Feb 01 17:18:46 GMT 2024","159","Sponsored Product (Staging)","Create Sponsor Product Campaign","","","","Loans- Create Sponsor Product Campaign All fields empty",""
"passed","Thu Feb 01 17:19:00 GMT 2024","Thu Feb 01 17:19:00 GMT 2024","184","Account Detail config Page","API to validate account number by external API (Paystack)","","","","Empty Bank Code- API to validate account number by external API (Paystack)",""
"passed","Thu Feb 01 17:19:04 GMT 2024","Thu Feb 01 17:19:04 GMT 2024","174","Sign up","Add middle name field to the profile page endpoint on customer dashboard","","","","Add middle name field to the profile page endpoint on customer dashboard",""
"passed","Thu Feb 01 17:18:45 GMT 2024","Thu Feb 01 17:18:45 GMT 2024","158","AUTH","","","","","Auth Invalid password and email",""
"failed","Thu Feb 01 17:18:46 GMT 2024","Thu Feb 01 17:18:47 GMT 2024","161","Sponsored Product (Staging)","Create Sponsor Product Campaign","","","","Savings - Create Sponsor Product Campaign Empty ExpireinDays",""
"failed","Thu Feb 01 17:18:48 GMT 2024","Thu Feb 01 17:18:49 GMT 2024","160","Sponsored Product (Staging)","Update Sponsored Product Campaign","","","","Savings-Update Sponsor Product Campaign Empty SponsoredProductId",""
"failed","Thu Feb 01 17:18:47 GMT 2024","Thu Feb 01 17:18:47 GMT 2024","160","Sponsored Product (Staging)","Create Sponsor Product Campaign","","","","Savings - Create Sponsor Product Campaign All fields Empty",""
"failed","Thu Feb 01 17:18:46 GMT 2024","Thu Feb 01 17:18:46 GMT 2024","159","Sponsored Product (Staging)","Create Sponsor Product Campaign","","","","Savings - Create Sponsor Product Campaign",""
"failed","Thu Feb 01 17:18:53 GMT 2024","Thu Feb 01 17:18:54 GMT 2024","160","Loan Application lists","","","","","download-customer-application-pdf",""
"passed","Thu Feb 01 17:18:56 GMT 2024","Thu Feb 01 17:18:57 GMT 2024","159","Account Detail config Page","Account datails configuration status","","","","No Authorization: endpoint for Account Details Configuration Statuses (Enums)",""
"passed","Thu Feb 01 17:19:03 GMT 2024","Thu Feb 01 17:19:03 GMT 2024","203","Account Detail config Page","implement  a Filter - ( search filter by at least 2 fields)","","","","filter by providerID: implement  a Filter - ( search filter by at least 2 fields)",""
